AIY.DE,Activision Blizzard Inc.
ADBE,Adobe Inc.
AMZN,Amazon.com Inc.
AAPL,Apple Inc.
ADSK,Autodesk Inc.
DELL,Dell Technologies Inc.
DIS,The Walt Disney Company
EBAY,eBay Inc.
EA,Electronic Arts Inc.
ERIC,LM Ericsson Telefon AB
INTC,Intel Corporation
META,Meta Platforms Inc.
MSFT,Microsoft Corporation
NVDA,NVIDIA Corporation
ORCL,Oracle Corporation
QCOM,Qualcomm Inc.
SBUX,Starbucks Corporation
T,AT&T Inc.
TSLA,Tesla Inc.
WBD,Discovery Inc.
BTC-USD,Bitcoin
ETH-USD,Ethereum
BNB-USD,Binance Coin
SOL-USD,Solana
XRP-USD,XRP